match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398294508,4525364883,true,1588684058,1757,3490,1,7,22,60,4,155,"45,38,1,64,86","128,120,7,41,52"
5398294304,4525363388,false,1588684088,1706,3163,3,7,22,38,7,134,"4,11,82,121,104","68,10,7,91,42"
5398294206,4525359068,false,1588684084,1525,,,7,22,24,8,182,"108,17,32,114,14","6,105,4,98,36"
5398293808,4525359898,true,1588684064,1568,2867,2,7,22,63,4,183,"74,21,32,68,23","31,10,14,63,9"
5398293806,4525356255,false,1588684063,1418,3037,1,7,22,51,5,135,"19,74,8,14,69","93,88,105,42,126"
5398293216,4525358440,true,1588684049,1555,994,1,7,22,32,6,182,"32,106,84,54,110","57,94,81,114,68"
5398293013,4525363881,false,1588684035,1764,,,0,22,28,4,182,"27,44,22,15,26","53,21,106,82,63"
5398293007,4525338918,false,1588684049,601,,,7,22,74,5,155,"100,27,120,77,42","56,39,28,109,7"
5398292617,4525351760,false,1588684033,1322,,,0,22,21,2,183,"95,44,53,6,126","30,21,80,4,39"
5398292612,4525364280,true,1588684034,1793,,,7,3,24,3,227,"60,34,67,105,22","30,99,11,90,95"
5398292302,4525355047,true,1588684026,1470,2720,4,7,22,40,6,185,"22,50,8,73,28","62,23,104,18,32"
5398292216,4525355149,true,1588684012,1437,,,7,22,33,5,133,"45,93,82,79,32","75,84,48,95,14"
5398291712,4525364442,false,1588684005,1728,4019,1,7,22,51,2,155,"85,10,62,67,100","128,60,48,14,22"
5398291512,4525361617,true,1588684004,1723,2596,2,7,22,43,2,156,"2,90,75,8,34","14,44,36,50,6"
5398291508,4525362464,false,1588684005,1746,1520,1,7,22,22,3,132,"51,53,26,1,11","32,21,75,9,60"
5398291212,4525349485,true,1588683995,1233,3123,2,7,22,43,10,227,"93,95,31,108,128","114,86,23,28,85"
5398291211,4525364814,true,1588683995,1877,4412,2,7,22,63,6,181,"1,57,76,27,74","99,21,14,32,5"
5398290506,4525360940,true,1588683973,1714,4393,4,7,22,71,6,153,"56,39,20,60,65","25,44,13,96,5"
5398290503,4525364073,false,1588683973,1834,3511,2,0,22,54,6,184,"113,28,11,128,121","47,32,104,29,17"
5398290502,4525346380,true,1588683974,1150,3244,3,7,22,55,7,132,"36,51,86,80,56","106,31,14,78,22"
5398290409,4525363311,false,1588683965,1871,4040,2,0,4,57,5,138,"104,63,68,110,91","14,84,25,48,26"
5398290405,4525359908,false,1588683968,1686,3084,2,7,22,43,7,186,"17,27,8,103,104","29,53,128,14,70"
5398289705,4525353011,false,1588683950,1456,4582,2,0,3,70,8,223,"111,21,25,49,1","129,53,64,39,87"
5398289608,4525363946,true,1588683923,1914,4700,4,0,4,58,8,223,"49,22,86,6,40","56,15,109,71,18"
5398289605,4525363293,false,1588683945,1881,,,0,4,47,2,186,"84,109,65,67,128","20,49,68,40,36"
5398289418,4525364710,false,1588683943,1962,3661,2,0,4,55,7,236,"15,9,14,2,54","102,20,30,60,6"
5398289416,4525354971,true,1588683943,1558,1556,3,7,3,31,8,223,"42,40,22,79,23","101,103,1,104,126"
5398289310,4525360517,true,1588683935,1734,3124,1,7,22,32,2,225,"14,42,12,22,36","31,84,129,39,44"
5398289307,4525359354,true,1588683935,1740,3307,5,0,4,47,6,155,"26,96,25,10,90","11,65,29,55,44"
5398289209,4525363548,true,1588683929,1860,3125,1,0,4,38,2,153,"71,64,87,1,58","39,129,57,106,43"
5398289206,4525363865,false,1588683935,1878,3516,2,7,3,49,9,223,"121,22,56,69,80","99,61,35,44,51"
5398289205,4525356550,false,1588683934,1594,2789,2,7,22,37,8,182,"12,91,93,104,111","84,100,44,113,98"
5398289203,4525361166,false,1588683934,1693,3771,1,7,22,33,7,186,"8,93,5,46,14","99,41,59,64,25"
5398288813,4525358796,true,1588683923,1673,3551,5,7,3,53,8,236,"106,112,62,6,129","46,100,86,70,2"
5398288707,4525357798,true,1588683918,1682,2646,3,0,3,41,5,231,"11,14,29,32,5","106,93,31,62,35"
5398288512,4525347826,true,1588683909,1279,3552,7,7,22,54,10,227,"98,36,40,7,6","50,16,77,44,45"
5398288506,4525358490,true,1588683905,1681,2172,1,7,22,36,4,121,"85,63,4,2,62","26,49,9,70,74"
5398288406,4525358689,false,1588683911,1681,2461,2,7,3,41,9,236,"129,44,106,50,64","70,26,37,32,18"
5398288403,4525362519,false,1588683911,1820,3964,1,7,22,55,7,153,"21,106,10,7,9","48,53,74,3,19"
5398288203,4525354488,true,1588683889,1550,5620,3,7,22,80,4,138,"99,12,100,3,53","41,112,26,58,11"
5398288015,4525362656,true,1588683894,1970,2948,5,0,5,63,8,188,"14,90,1,53,129","103,10,97,128,106"
5398287805,4525358932,false,1588683861,1732,4601,6,7,22,62,7,135,"1,9,71,10,64","83,41,39,5,36"
5398287804,4525364721,false,1588683893,1937,2083,1,7,22,38,2,145,"11,75,1,6,22","104,35,83,99,14"
5398287707,4525356897,true,1588683889,1671,2627,1,7,22,36,5,185,"105,40,82,128,1","56,12,14,2,84"
5398287701,4525355993,false,1588683889,1591,,,7,22,32,7,227,"79,11,84,1,85","76,87,62,59,128"
5398287601,4525356913,false,1588683884,1685,2450,2,0,4,39,5,186,"11,28,72,8,57","86,15,48,5,21"
5398287212,4525361431,true,1588683873,1686,,,7,22,32,4,182,"15,77,68,50,2","14,129,34,70,9"
5398287115,4525337543,true,1588683844,962,3332,3,0,4,48,8,232,"93,10,108,86,62","15,90,12,73,7"
5398287017,4525360317,false,1588683850,1680,3130,5,7,22,52,8,135,"51,59,40,22,18","87,54,96,114,46"
5398286913,4525363469,true,1588683859,1911,,,7,22,44,4,156,"84,3,13,8,60","10,28,40,14,30"
5398286909,4525357910,false,1588683853,1615,4317,2,7,22,56,9,227,"100,109,11,104,26","10,21,50,94,7"
5398286612,4525346541,true,1588683859,1297,3685,3,7,3,66,8,227,"119,62,93,25,10","31,106,1,14,87"
5398286608,4525358499,true,1588683851,1739,1998,2,7,22,32,4,145,"82,44,101,26,95","83,42,46,7,32"
5398286512,4525360877,true,1588683848,1839,4734,3,7,22,54,7,152,"84,63,35,96,50","79,90,29,10,72"
5398286317,4525363177,false,1588683848,1951,3467,1,7,22,49,6,183,"104,13,76,21,114","67,126,2,26,87"
5398286313,4525355872,false,1588683835,1632,2918,2,7,22,40,6,184,"100,21,13,10,67","31,114,1,74,37"
